InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV500567,TH-JACK,Denim Jacket,2,2026-01-20 19:00,99.08,20064,United Kingdom
INV505065,TH-JACK,Denim Jacket,1,2025-12-11 09:00,122.61,20568,United Kingdom
INV502699,TH-SHIRT,Oxford Shirt,2,2026-04-08 11:00,35.15,20297,United Kingdom
INV501022,TH-JACK,Denim Jacket,1,2026-02-09 13:00,128.69,20111,United Kingdom
INV506236,TH-SHOE,Canvas Sneakers,1,2026-02-25 11:00,49.36,20696,United Kingdom
INV500536,TH-HOOD,Fleece Hoodie,1,2025-09-23 19:00,68.3,20061,United Kingdom
INV500430,TH-JEAN,Slim Fit Jeans,1,2026-06-18 11:00,85.79,20051,United Kingdom
INV505728,TH-SHOE,Canvas Sneakers,1,2025-12-16 11:00,65.73,20645,United Kingdom
INV505931,TH-SHIRT,Oxford Shirt,1,2025-12-02 11:00,33.11,20667,United Kingdom
INV502563,TH-JEAN,Slim Fit Jeans,2,2025-09-08 10:00,55.28,20282,United Kingdom
INV505706,TH-TSHIRT,Cotton Crew T-Shirt,3,2026-05-30 13:00,19.76,20643,United Kingdom
INV501023,TH-HOOD,Fleece Hoodie,3,2026-01-08 17:00,71.46,20111,United Kingdom
INV505543,TH-TSHIRT,Cotton Crew T-Shirt,2,2026-04-21 10:00,19.85,20624,United Kingdom
INV500071,TH-CAP,Logo Cap,2,2025-11-28 14:00,14.85,20009,United Kingdom
INV505000,TH-SHIRT,Oxford Shirt,2,2025-11-04 14:00,49.71,20561,United Kingdom
INV504051,TH-JEAN,Slim Fit Jeans,2,2025-09-02 16:00,69.6,20453,United Kingdom
INV503558,TH-HOOD,Fleece Hoodie,2,2026-03-08 15:00,37.12,20393,United Kingdom
INV501113,TH-DRESS,Summer Dress,2,2026-01-02 16:00,60.84,20123,United Kingdom
INV505483,TH-CAP,Logo Cap,2,2025-05-11 15:00,22.15,20616,United Kingdom
INV506216,TH-DRESS,Summer Dress,3,2025-05-27 18:00,76.69,20694,United Kingdom
INV504013,TH-HOOD,Fleece Hoodie,3,2025-09-18 19:00,70.23,20448,United Kingdom
INV503834,TH-SHIRT,Oxford Shirt,1,2025-05-17 12:00,51.58,20431,United Kingdom
INV505067,TH-SHOE,Canvas Sneakers,1,2026-04-02 16:00,83.96,20568,United Kingdom
INV503595,TH-SHOE,Canvas Sneakers,2,2025-08-12 19:00,35.53,20397,United Kingdom
INV505204,TH-HOOD,Fleece Hoodie,2,2025-09-08 16:00,54.06,20583,United Kingdom
INV502766,TH-SHIRT,Oxford Shirt,1,2026-05-13 20:00,34.39,20305,United Kingdom
INV501883,TH-JACK,Denim Jacket,2,2025-07-02 11:00,79.52,20209,United Kingdom
INV501336,TH-SHIRT,Oxford Shirt,2,2025-11-05 15:00,51.29,20149,United Kingdom
INV504306,TH-TSHIRT,Cotton Crew T-Shirt,2,2026-05-31 12:00,24.75,20484,United Kingdom
INV505370,TH-DRESS,Summer Dress,1,2025-09-11 16:00,67.81,20605,United Kingdom
INV502418,TH-DRESS,Summer Dress,2,2026-03-19 14:00,81.83,20265,United Kingdom
INV504485,TH-HOOD,Fleece Hoodie,1,2026-04-17 14:00,45.46,20503,United Kingdom
INV503714,TH-DRESS,Summer Dress,3,2026-03-28 13:00,85.9,20414,United Kingdom
INV500949,TH-SHOE,Canvas Sneakers,2,2026-01-16 11:00,86.29,20104,United Kingdom
INV504324,TH-JACK,Denim Jacket,3,2025-07-26 11:00,98.17,20486,United Kingdom
INV501770,TH-TSHIRT,Cotton Crew T-Shirt,3,2026-04-06 10:00,25.55,20198,United Kingdom
INV504833,TH-HOOD,Fleece Hoodie,1,2026-04-22 15:00,55.43,20542,United Kingdom
INV504426,TH-SHIRT,Oxford Shirt,2,2025-06-07 10:00,57.91,20496,United Kingdom
INV501198,TH-JEAN,Slim Fit Jeans,1,2025-11-08 12:00,54.97,20133,United Kingdom
INV503657,TH-TSHIRT,Cotton Crew T-Shirt,2,2025-08-06 14:00,16.28,20406,United Kingdom
INV502681,TH-TSHIRT,Cotton Crew T-Shirt,2,2025-07-30 11:00,24.47,20294,United Kingdom
INV502112,TH-JEAN,Slim Fit Jeans,1,2025-09-16 18:00,87.91,20234,United Kingdom
INV502608,TH-JEAN,Slim Fit Jeans,1,2025-06-16 17:00,87.69,20289,United Kingdom
INV502670,TH-CAP,Logo Cap,3,2026-05-03 12:00,26.71,20294,United Kingdom
INV500842,TH-CAP,Logo Cap,3,2026-05-01 16:00,28.15,20093,United Kingdom
INV504609,TH-SHIRT,Oxford Shirt,1,2025-07-19 14:00,33.22,20517,United Kingdom
INV502617,TH-JACK,Denim Jacket,3,2025-06-09 18:00,113.24,20289,United Kingdom
INV505911,TH-DRESS,Summer Dress,2,2025-12-10 11:00,87.96,20665,United Kingdom
INV503195,TH-SHIRT,Oxford Shirt,2,2025-06-14 11:00,55.39,20353,United Kingdom
INV506228,TH-SHOE,Canvas Sneakers,1,2026-04-28 15:00,39.38,20695,United Kingdom
INV504375,TH-CAP,Logo Cap,2,2026-02-25 20:00,18.99,20490,United Kingdom
INV505845,TH-HOOD,Fleece Hoodie,3,2026-05-21 17:00,59.33,20658,United Kingdom
INV504919,TH-CAP,Logo Cap,1,2025-12-06 09:00,17.95,20550,United Kingdom
