InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
TH-1778336768276,aaaai,Orciani soft leather belt,1,09-05-2026 14:26,127.0,3,Unknown
TH-1778336768276,aaaab,Shrimps wide-collar crochet sweater,1,09-05-2026 14:26,304.0,3,Unknown
TH-1778381659300,aaaab,Shrimps wide-collar crochet sweater,1,10-05-2026 02:54,304.0,3,Unknown
TH-1778381659300,aaabr,Pleasures Vodka photo-patches plaid flannel shirt,1,10-05-2026 02:54,210.0,3,Unknown
TH-1778381659300,aaaak,Off-White checked floral shirt,1,10-05-2026 02:54,760.0,3,Unknown
TH-1778381659300,aaaam,Dolce & Gabbana Kids logo-print long-sleeved shirt,1,10-05-2026 02:54,335.0,3,Unknown
TH-1778381659300,aaaaw,Kenzo Kids animal-print hooded jacket,1,10-05-2026 02:54,339.0,3,Unknown
TH-1778381659300,aaaaj,Valentino Garavani VLOGO low top sneakers,1,10-05-2026 02:54,548.0,3,Unknown
TH-1778381659300,aaabi,Cartier Eyewear pilot-frame logo sunglasses,1,10-05-2026 02:54,1298.0,3,Unknown
TH-1778548975296,aaaah,Billionaire Boys Club logo single-breasted jacket,1,12-05-2026 01:22,188.0,4,Unknown
TH-1778548975296,aaaby,AMI Paris embroidered logo sweatshirt,1,12-05-2026 01:22,665.0,4,Unknown
TH-1778548975296,aaadm,Baldinini Scarpa Uomo Vitello low-top sneakers,1,12-05-2026 01:22,404.0,4,Unknown
