InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV100115,TH-TSHIRT,Cotton Crew T-Shirt,2,2025-10-12 21:00,15.67,17007,United Kingdom
INV100926,TH-HOOD,Fleece Hoodie,1,2025-12-09 21:00,42.8,17113,United Kingdom
INV100278,TH-SOCK,Ankle Socks 3pk,4,2026-04-30 23:00,10.21,17018,United Kingdom
INV100131,TH-SHORT,Chino Shorts,2,2026-01-22 08:00,36.03,17008,United Kingdom
INV100822,TH-SCARF,Wool Scarf,1,2025-04-12 01:00,20.72,17102,United Kingdom
INV100148,TH-SCARF,Wool Scarf,3,2026-03-11 00:00,22.15,17009,United Kingdom
INV101002,TH-JACK,Denim Jacket,1,2025-04-30 06:00,74.93,17120,United Kingdom
INV100777,TH-BELT,Leather Belt,3,2025-05-04 03:00,24.39,17097,United Kingdom
INV100408,TH-CAP,Logo Cap,1,2026-04-28 02:00,15.19,17026,United Kingdom
INV100641,TH-JEAN,Slim Fit Jeans,1,2026-05-08 01:00,49.1,17052,United Kingdom
INV100001,TH-SCARF,Wool Scarf,4,2025-12-15 04:00,23.56,17001,United Kingdom
INV100035,TH-SOCK,Ankle Socks 3pk,4,2026-03-29 21:00,10.2,17002,United Kingdom
INV100361,TH-JEAN,Slim Fit Jeans,2,2025-11-19 04:00,39.72,17023,United Kingdom
INV100285,TH-HOOD,Fleece Hoodie,2,2025-10-03 04:00,46.31,17019,United Kingdom
INV100475,TH-SOCK,Ankle Socks 3pk,3,2026-04-25 21:00,8.33,17033,United Kingdom
INV100986,TH-SHOE,Canvas Sneakers,3,2025-06-21 07:00,47.64,17119,United Kingdom
INV100380,TH-SHIRT,Oxford Shirt,3,2026-06-12 08:00,28.44,17024,United Kingdom
INV100211,TH-DRESS,Summer Dress,3,2025-07-13 08:00,63.59,17014,United Kingdom
INV100258,TH-SHORT,Chino Shorts,4,2025-10-04 21:00,37.67,17017,United Kingdom
INV100946,TH-BELT,Leather Belt,2,2025-01-11 07:00,30.62,17116,United Kingdom
INV100012,TH-SHORT,Chino Shorts,2,2026-04-17 05:00,34.55,17001,United Kingdom
INV100170,TH-TSHIRT,Cotton Crew T-Shirt,4,2026-07-06 12:00,17.8,17010,United Kingdom
INV100365,TH-HOOD,Fleece Hoodie,1,2026-03-28 22:00,32.23,17023,United Kingdom
INV100097,TH-CAP,Logo Cap,1,2025-08-06 03:00,16.95,17006,United Kingdom
INV101082,TH-JEAN,Slim Fit Jeans,2,2025-01-16 08:00,59.08,17128,United Kingdom
INV100841,TH-SCARF,Wool Scarf,2,2025-10-07 22:00,21.19,17104,United Kingdom
INV100060,TH-SOCK,Ankle Socks 3pk,3,2025-06-23 08:00,10.0,17004,United Kingdom
INV100169,TH-SHORT,Chino Shorts,4,2026-06-18 21:00,31.69,17010,United Kingdom
INV100115,TH-SHOE,Canvas Sneakers,2,2025-10-12 21:00,46.8,17007,United Kingdom
INV100123,TH-SHIRT,Oxford Shirt,3,2026-06-08 03:00,36.41,17007,United Kingdom
INV100009,TH-SHORT,Chino Shorts,2,2026-02-03 03:00,30.96,17001,United Kingdom
INV100116,TH-SHIRT,Oxford Shirt,1,2025-10-20 00:00,38.07,17007,United Kingdom
INV100001,TH-CAP,Logo Cap,1,2025-12-15 04:00,15.51,17001,United Kingdom
INV100837,TH-SHIRT,Oxford Shirt,2,2025-07-21 07:00,35.5,17104,United Kingdom
INV100853,TH-TSHIRT,Cotton Crew T-Shirt,1,2026-01-07 00:00,14.91,17105,United Kingdom
INV100670,TH-JEAN,Slim Fit Jeans,3,2026-05-20 06:00,39.95,17058,United Kingdom
INV100208,TH-JACK,Denim Jacket,2,2026-06-09 04:00,77.59,17013,United Kingdom
INV100169,TH-SHOE,Canvas Sneakers,4,2026-06-18 21:00,45.4,17010,United Kingdom
INV100269,TH-SOCK,Ankle Socks 3pk,3,2026-01-02 01:00,10.35,17018,United Kingdom
INV100186,TH-JACK,Denim Jacket,4,2025-12-03 05:00,66.71,17012,United Kingdom
INV100476,TH-JACK,Denim Jacket,3,2026-06-06 12:00,56.59,17033,United Kingdom
INV100701,TH-SHIRT,Oxford Shirt,3,2026-03-20 02:00,29.07,17066,United Kingdom
INV101116,TH-SHIRT,Oxford Shirt,2,2024-12-19 08:00,24.45,17138,United Kingdom
INV100373,TH-TSHIRT,Cotton Crew T-Shirt,3,2026-01-31 21:00,14.74,17024,United Kingdom
INV101122,TH-SHORT,Chino Shorts,1,2025-01-26 23:00,24.87,17140,United Kingdom
INV100971,TH-DRESS,Summer Dress,3,2024-09-01 01:00,67.03,17118,United Kingdom
INV100729,TH-TSHIRT,Cotton Crew T-Shirt,1,2026-06-12 21:00,10.66,17079,United Kingdom
INV100485,TH-CAP,Logo Cap,1,2025-12-05 08:00,13.51,17035,United Kingdom
INV100974,TH-SHIRT,Oxford Shirt,2,2024-11-10 20:00,42.29,17118,United Kingdom
INV100315,TH-TSHIRT,Cotton Crew T-Shirt,2,2026-04-08 06:00,14.51,17020,United Kingdom
INV100062,TH-SHORT,Chino Shorts,3,2025-07-03 02:00,34.84,17004,United Kingdom
INV100489,TH-SCARF,Wool Scarf,2,2026-01-19 20:00,19.34,17035,United Kingdom
INV101054,TH-SOCK,Ankle Socks 3pk,3,2025-07-31 21:00,9.9,17125,United Kingdom
INV100829,TH-DRESS,Summer Dress,2,2025-06-21 22:00,61.33,17103,United Kingdom
INV100903,TH-SCARF,Wool Scarf,3,2025-08-07 02:00,22.39,17111,United Kingdom
INV101055,TH-SHIRT,Oxford Shirt,1,2025-09-14 12:00,42.15,17125,United Kingdom
INV100261,TH-HOOD,Fleece Hoodie,4,2025-12-06 22:00,43.02,17017,United Kingdom
INV100238,TH-SHIRT,Oxford Shirt,1,2026-05-19 07:00,33.9,17015,United Kingdom
INV100911,TH-JACK,Denim Jacket,1,2025-09-06 23:00,68.36,17112,United Kingdom
INV100479,TH-HOOD,Fleece Hoodie,3,2026-01-30 21:00,35.2,17034,United Kingdom
INV101096,TH-BELT,Leather Belt,1,2025-04-21 23:00,29.63,17129,United Kingdom
INV100049,TH-JACK,Denim Jacket,1,2025-10-25 02:00,77.77,17003,United Kingdom
INV100148,TH-SOCK,Ankle Socks 3pk,3,2026-03-11 00:00,11.61,17009,United Kingdom
INV100385,TH-HOOD,Fleece Hoodie,2,2026-02-16 04:00,37.96,17025,United Kingdom
INV100651,TH-SHOE,Canvas Sneakers,3,2026-06-15 12:00,36.81,17054,United Kingdom
INV100822,TH-SHIRT,Oxford Shirt,3,2025-04-12 01:00,33.1,17102,United Kingdom
INV100021,TH-SCARF,Wool Scarf,3,2025-11-09 05:00,23.99,17002,United Kingdom
INV100880,TH-SOCK,Ankle Socks 3pk,3,2025-07-24 07:00,10.11,17109,United Kingdom
INV100739,TH-BELT,Leather Belt,1,2026-06-26 12:00,20.97,17084,United Kingdom
INV100985,TH-CAP,Logo Cap,1,2025-06-13 04:00,18.21,17119,United Kingdom
INV100712,TH-SHORT,Chino Shorts,2,2026-04-09 03:00,31.28,17068,United Kingdom
INV100058,TH-JACK,Denim Jacket,3,2026-05-11 21:00,77.51,17003,United Kingdom
INV100230,TH-SOCK,Ankle Socks 3pk,1,2026-02-09 08:00,10.69,17015,United Kingdom
INV100277,TH-DRESS,Summer Dress,2,2026-04-24 20:00,57.53,17018,United Kingdom
INV100443,TH-SHIRT,Oxford Shirt,3,2025-09-18 03:00,32.96,17031,United Kingdom
INV100891,TH-TSHIRT,Cotton Crew T-Shirt,3,2025-11-20 02:00,16.32,17110,United Kingdom
INV100786,TH-SOCK,Ankle Socks 3pk,3,2025-06-07 06:00,9.14,17098,United Kingdom
INV100323,TH-SHORT,Chino Shorts,3,2025-11-04 07:00,32.9,17021,United Kingdom
INV100008,TH-JEAN,Slim Fit Jeans,4,2026-02-01 23:00,47.56,17001,United Kingdom
INV100340,TH-HOOD,Fleece Hoodie,3,2025-09-15 22:00,46.33,17022,United Kingdom
INV100283,TH-TSHIRT,Cotton Crew T-Shirt,1,2026-07-03 12:00,16.72,17018,United Kingdom
INV100291,TH-CAP,Logo Cap,2,2025-11-21 08:00,16.51,17019,United Kingdom
INV100790,TH-SHORT,Chino Shorts,1,2025-11-27 12:00,33.39,17098,United Kingdom
INV100489,TH-SHORT,Chino Shorts,1,2026-01-19 20:00,27.36,17035,United Kingdom
INV100821,TH-BELT,Leather Belt,1,2025-03-29 03:00,27.04,17102,United Kingdom
INV100530,TH-SCARF,Wool Scarf,3,2026-02-02 23:00,19.02,17040,United Kingdom
INV100250,TH-DRESS,Summer Dress,3,2025-11-06 20:00,59.49,17016,United Kingdom
INV101144,TH-SCARF,Wool Scarf,1,2024-11-11 12:00,16.98,17152,United Kingdom
INV101089,TH-SHIRT,Oxford Shirt,1,2025-01-30 00:00,37.2,17129,United Kingdom
INV100673,TH-BELT,Leather Belt,3,2026-03-17 03:00,24.1,17059,United Kingdom
INV100473,TH-SCARF,Wool Scarf,2,2026-04-25 03:00,21.79,17033,United Kingdom
INV100074,TH-BELT,Leather Belt,3,2026-06-24 01:00,27.98,17004,United Kingdom
INV100361,TH-SHORT,Chino Shorts,1,2025-11-19 04:00,27.11,17023,United Kingdom
INV100625,TH-CAP,Logo Cap,3,2026-02-07 07:00,13.99,17048,United Kingdom
INV100936,TH-JACK,Denim Jacket,3,2024-12-31 20:00,71.27,17115,United Kingdom
INV100294,TH-CAP,Logo Cap,4,2026-01-01 21:00,15.6,17019,United Kingdom
INV100047,TH-CAP,Logo Cap,2,2025-09-14 20:00,17.17,17003,United Kingdom
INV100663,TH-SHOE,Canvas Sneakers,3,2026-05-15 03:00,40.16,17057,United Kingdom
INV100273,TH-SOCK,Ankle Socks 3pk,4,2026-02-25 20:00,11.06,17018,United Kingdom
INV100520,TH-SHIRT,Oxford Shirt,3,2026-06-28 04:00,31.93,17038,United Kingdom
INV100802,TH-JACK,Denim Jacket,2,2025-04-25 21:00,64.1,17100,United Kingdom
INV101083,TH-SOCK,Ankle Socks 3pk,2,2025-04-10 01:00,11.58,17128,United Kingdom
INV100240,TH-JACK,Denim Jacket,2,2026-06-13 00:00,76.14,17015,United Kingdom
INV100192,TH-CAP,Logo Cap,1,2026-02-08 04:00,15.58,17012,United Kingdom
INV100281,TH-CAP,Logo Cap,4,2026-06-03 20:00,16.63,17018,United Kingdom
INV100860,TH-DRESS,Summer Dress,3,2025-11-12 22:00,56.66,17106,United Kingdom
INV100989,TH-SHOE,Canvas Sneakers,1,2025-08-22 04:00,55.51,17119,United Kingdom
INV100673,TH-SHIRT,Oxford Shirt,1,2026-03-17 03:00,34.3,17059,United Kingdom
INV100589,TH-SHOE,Canvas Sneakers,3,2026-06-02 06:00,37.63,17045,United Kingdom
INV100174,TH-SOCK,Ankle Socks 3pk,2,2025-11-18 07:00,11.33,17011,United Kingdom
INV100310,TH-SCARF,Wool Scarf,4,2026-01-21 08:00,24.19,17020,United Kingdom
INV100498,TH-DRESS,Summer Dress,2,2026-02-05 23:00,55.4,17036,United Kingdom
INV100330,TH-BELT,Leather Belt,1,2026-02-06 04:00,25.28,17021,United Kingdom
INV100345,TH-SHIRT,Oxford Shirt,3,2025-12-24 03:00,37.97,17022,United Kingdom
INV100741,TH-JEAN,Slim Fit Jeans,2,2026-07-04 12:00,41.43,17085,United Kingdom
INV101046,TH-SHOE,Canvas Sneakers,2,2024-11-12 08:00,49.87,17125,United Kingdom
INV101074,TH-TSHIRT,Cotton Crew T-Shirt,3,2025-02-02 02:00,17.56,17127,United Kingdom
INV101076,TH-DRESS,Summer Dress,3,2025-03-02 00:00,63.09,17127,United Kingdom
INV100486,TH-JACK,Denim Jacket,3,2025-12-18 04:00,60.59,17035,United Kingdom
INV100591,TH-BELT,Leather Belt,1,2025-09-18 02:00,24.81,17046,United Kingdom
INV100255,TH-SHORT,Chino Shorts,3,2026-04-13 03:00,35.15,17016,United Kingdom
INV100184,TH-SHOE,Canvas Sneakers,4,2025-11-15 21:00,47.84,17012,United Kingdom
INV100196,TH-SCARF,Wool Scarf,1,2026-04-01 04:00,20.64,17012,United Kingdom
INV101026,TH-DRESS,Summer Dress,1,2025-01-01 21:00,60.23,17123,United Kingdom
INV100705,TH-SHORT,Chino Shorts,1,2026-06-01 05:00,31.37,17066,United Kingdom
INV100264,TH-TSHIRT,Cotton Crew T-Shirt,3,2026-01-16 00:00,17.21,17017,United Kingdom
INV101066,TH-SHIRT,Oxford Shirt,1,2024-07-09 08:00,38.11,17127,United Kingdom
