InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV701667,TH-HOOD,Pullover Hoodie,1,2025-05-07 09:00,68.32,10309,United Kingdom
INV701667,TH-JEAN,Slim Fit Jeans,3,2025-05-07 09:00,81.53,10309,United Kingdom
INV701162,TH-SCARF,Merino Scarf,2,2025-05-08 12:00,37.68,10209,United Kingdom
INV701456,TH-SHIRT,Oxford Shirt,3,2025-05-10 08:00,56.33,10270,United Kingdom
INV701456,TH-COAT,Wool Overcoat,2,2025-05-10 08:00,180.7,10270,United Kingdom
INV701665,TH-BOOT,Chelsea Boots,2,2025-05-10 14:00,152.2,10309,United Kingdom
INV701459,TH-HAT,Wool Beanie,1,2025-05-11 19:00,22.99,10270,United Kingdom
INV701459,TH-HAT,Wool Beanie,1,2025-05-11 19:00,21.36,10270,United Kingdom
INV701664,TH-CHINO,Stretch Chinos,3,2025-05-13 14:00,68.81,10309,United Kingdom
INV701668,TH-SHORT,Chino Shorts,3,2025-05-13 18:00,40.46,10309,United Kingdom
INV701663,TH-CHINO,Stretch Chinos,1,2025-05-14 15:00,65.52,10309,United Kingdom
INV700182,TH-SHOE,Leather Sneakers,2,2025-05-15 12:00,130.36,10029,United Kingdom
INV701670,TH-SHOE,Leather Sneakers,3,2025-05-15 14:00,119.58,10309,United Kingdom
INV700981,TH-HOOD,Pullover Hoodie,3,2025-05-18 19:00,64.07,10176,United Kingdom
INV700986,TH-SCARF,Merino Scarf,3,2025-05-18 20:00,41.73,10176,United Kingdom
INV700986,TH-SOCK,Sock 3-Pack,1,2025-05-18 20:00,15.25,10176,United Kingdom
INV700986,TH-SHIRT,Oxford Shirt,2,2025-05-18 20:00,52.73,10176,United Kingdom
INV701661,TH-SOCK,Sock 3-Pack,1,2025-05-19 19:00,15.37,10309,United Kingdom
INV701661,TH-SHOE,Leather Sneakers,3,2025-05-19 19:00,130.16,10309,United Kingdom
INV701223,TH-JEAN,Slim Fit Jeans,3,2025-05-20 08:00,80.59,10219,United Kingdom
INV700365,TH-SHOE,Leather Sneakers,3,2025-05-22 11:00,129.21,10065,United Kingdom
INV700365,TH-BAG,Canvas Tote Bag,2,2025-05-22 11:00,44.4,10065,United Kingdom
INV700365,TH-SOCK,Sock 3-Pack,3,2025-05-22 11:00,14.41,10065,United Kingdom
INV701656,TH-CHINO,Stretch Chinos,1,2025-05-24 17:00,58.63,10308,United Kingdom
INV701656,TH-SHOE,Leather Sneakers,1,2025-05-24 17:00,139.19,10308,United Kingdom
INV701656,TH-BAG,Canvas Tote Bag,2,2025-05-24 17:00,44.93,10308,United Kingdom
INV700952,TH-SHORT,Chino Shorts,2,2025-05-25 10:00,41.11,10171,United Kingdom
INV700952,TH-JACK,Denim Jacket,1,2025-05-25 10:00,103.8,10171,United Kingdom
INV701005,TH-SOCK,Sock 3-Pack,1,2025-05-25 20:00,15.81,10182,United Kingdom
INV701005,TH-BAG,Canvas Tote Bag,1,2025-05-25 20:00,43.37,10182,United Kingdom
INV701669,TH-CHINO,Stretch Chinos,2,2025-05-26 10:00,71.28,10309,United Kingdom
INV700946,TH-BELT,Leather Belt,1,2025-05-26 11:00,37.84,10171,United Kingdom
INV700946,TH-SHORT,Chino Shorts,3,2025-05-26 11:00,40.5,10171,United Kingdom
INV700455,TH-SHOE,Leather Sneakers,2,2025-05-27 08:00,122.41,10080,United Kingdom
INV701519,TH-HAT,Wool Beanie,3,2025-05-27 10:00,22.04,10281,United Kingdom
INV701516,TH-JEAN,Slim Fit Jeans,2,2025-05-27 19:00,76.04,10281,United Kingdom
